Simulation,hp,a,b,c,h0,v0,y0,rho0,hddot0,tp_lamb,tf_sim,Initial drag,Integral drag,Integral hor drag,Integral ver drag,Integral drag no v,Periapsis velocity,Energy Diff
10000.0,90.0,0.04203531469135042,-0.04149466996742657,-0.013530675125625972,160000.0,4211.350596890035,-0.11244017001644385,1.3267753644132613e-11,1.6006651148088507,287.24893669085367,587.7089219295243,0.0029994187319052627,27308.58130091887,27300.669297839064,-2.4781469148604525,0.0015223968347695658,4238.121119791136,250491.32241261285
10000.0,91.0,0.03587620466121072,-0.03545036426920289,-0.013586263338157484,160000.0,4211.406498938042,-0.111613343935741,9.678e-11,1.6008038549244668,285.2391010132089,581.6152774992509,0.021990148912374934,23272.85417328467,23266.06617460839,-1.8041736561739157,0.001295203368847076,4241.739116449011,213652.93871237524
10000.0,92.0,0.030610563312351187,-0.030270798296386705,-0.013623688070878394,159999.99999999907,4211.462391955767,-0.1107806188015757,9.694000000000831e-11,1.600936210398693,283.2126907272987,575.8018805143196,0.022030410883653696,19830.452930699557,19824.62714003763,-1.3138247162879695,0.0011020836858338292,4244.607209922511,182175.70551793603
10000.0,93.0,0.026129530961266335,-0.025853230479302797,-0.013637682308078226,159999.99999999953,4211.518275945412,-0.1099418604263621,9.70900000000041e-11,1.6010685450751097,281.16934586995484,570.2118629259038,0.02206814440502048,16904.16747453149,16899.164511098283,-0.9576590123552862,0.0009383943650035259,4247.01938230753,155378.8392131459
10000.0,94.0,0.022321538442864768,-0.02209350089067792,-0.013636014345190765,160000.0,4211.574150909177,-0.10909692950970694,1.326767732392629e-11,1.6011945849162523,279.1086928967411,564.8526962126527,0.002999785871994668,14421.910700350507,14417.611389069089,-0.699453035278453,0.0007998774377501237,4248.92390335358,132620.9063830101
10000.0,95.0,0.019083037375149433,-0.018890390901630274,-0.013633534600367217,160000.0,4211.630016849267,-0.10824568136177984,1.3267678120731832e-11,1.6013269032879625,277.0303439501406,559.6827892458565,0.0029998821963749087,12313.905685386942,12310.208465173762,-0.5112793850132462,0.0006824786723656188,4250.454408855859,113274.86356384167
10000.0,96.0,0.01633136034865848,-0.016165188669500185,-0.013620357688786593,160000.0,4211.685873767882,-0.10738796560708083,1.32677638748492e-11,1.6014592020101022,274.93389607614887,554.6445804880332,0.002999997860681418,10525.154211174588,10521.97227166542,-0.3748708745103677,0.0005830225957083036,4251.605747515941,96845.41017211275
10000.0,97.0,0.013995070952649409,-0.013849861116568954,-0.013610544671559602,160000.0,4211.741721667218,-0.10652362586701,1.3267765720303934e-11,1.6015914810734873,272.8189303847943,549.663043575206,0.003000094442378076,9010.6311718319,9007.8906565436,-0.2756416605970955,0.000498926259038113,4252.4610568507405,82925.36256376375
10000.0,98.0,0.012004241629860005,-0.011878039746274499,-0.013604170911677888,160000.0,4211.7975605494785,-0.10565249941925624,9.790999999999934e-11,1.6017299228573725,270.6850111495769,544.694859570665,0.02227178493461858,7721.594344342666,7719.232346647952,-0.20356389905664277,0.0004274273678088524,4253.086928587298,71071.29877214367
10000.0,99.0,0.010298276453030546,-0.010188186177654013,-0.013593614086692449,160000.0,4211.853390416864,-0.1047744168319399,9.807e-11,1.6018621379124633,268.5316848402641,539.978265248554,0.0223121401929484,6618.147765804582,6616.110370550378,-0.14967908380374695,0.0003662752382966958,4253.491438117588,60919.81891482137
