time,year,month,day,hour,min,sec,number of passage,pos_ii[0],pos_ii[1],pos_ii[2],vel_ii[0],vel_ii[1],vel_ii[2],pos_ii_mag,vel_ii_mag,pos_pp[0],pos_pp[1],pos_pp[2],pos_pp_mag,vel_pp[0],vel_pp[1],vel_pp[2],vel_pp_mag,a,e,i,OMEGA,omega,vi,lat,lon,alt,gamma_ii,gamma_pp,h_ii[0],h_ii[1],h_ii[2],h_pp[0],h_pp[1],h_pp[2],h_ii_mag,h_pp_mag,uD[0],uD[1],uD[2],uE[0],uE[1],uE[2],uN[0],uN[1],uN[2],vN,vE,azi_pp,rho,T,p,wind[0],wind[1],wind[2],cL,cD,aoa,S,mass,heat_rate,heat_load,T_r,q,gravity_ii[0],gravity_ii[1],gravity_ii[2],drag_pp[0],drag_pp[1],drag_pp[2],drag_ii[0],drag_ii[1],drag_ii[2],lift_pp[0],lift_pp[1],lift_pp[2],lift_ii[0],lift_ii[1],lift_ii[2],force_ii[0],force_ii[1],force_ii[2],energy,t_cf,h_cf,gamma_cf,v_cf
0.0,2001.0,11.0,6.0,8.0,30.0,0.0,1.0,3428285.883863286,59349.974343002374,-943340.8286771093,701.8467436834247,-284.9088140922956,4528.495922002489,3556200.0000000005,4591.409064716373,3428285.883863286,59349.974343002374,-943340.8286771093,3556200.0000000005,706.0536099307961,-527.9138082952112,4528.495922002489,4613.5105944040315,14250600.0,0.7543120991396853,1.6336281798666923,0.0,0.0,6.014160957666201,-0.27137778935232015,0.0173101218373249,161418.25653879065,-0.11556183788314267,-0.11500576646707553,5.960464477539063e-08,-16187059333.324244,-1018403451.7711773,-229236532.6040545,-16191027842.016172,-1851743720.5091584,16219063951.139072,16298186610.027151,-0.9632581484750973,-0.016675781522998798,0.2680590563792326,-0.017309257381874228,0.9998501835819644,0.0,0.26801889673158386,0.004639903200410472,0.9634024819840747,4549.550451510313,-540.0559817991145,-0.11815246020371734,1.0596258668192617e-11,150.0,0.0,0.0,0.0,0.0,2.971270534290011e-17,2.2852453027858686,1.5707963267948966,19.379025154378905,461.0,0.0,0.0,0.0,0.00011276792787377213,-1507.6534915590103,-26.10027257742356,417.07336946927234,-0.0004338276876177652,0.0003243714407701243,-0.0027824897240046383,-0.0004338276876177652,0.0003243714407701243,-0.0027824897240046383,-3.6419174453510323e-20,-1.3202016356869154e-22,5.66285026374481e-21,-3.6419174453510323e-20,-1.3202016356869154e-22,5.66285026374481e-21,-1507.653925386698,-26.09994820598279,417.07058697954835,-1502673.5716390908,0.0,160000.00000000047,-0.11556183788314264,4591.409064716374
1.163537677900595e-05,2001.0,11.0,6.0,8.0,30.0,0.0,1.0,3428285.8920295374,59349.97102798097,-943340.775986353,701.8467056310676,-284.9088147510118,4528.495932528899,3556199.9938400984,4591.409069322705,3428285.892078486,59349.9682005263,-943340.775986353,3556199.993840099,706.0535712080693,-527.9138101150833,4528.495932528899,4613.510599018569,14250600.002739199,0.7543120991878791,1.6336281798659436,0.0,0.0,6.014160972559408,-0.2713777743222509,0.01731012000468503,161418.25022548437,-0.11556183150237562,-0.11500576011763702,0.0033482909202575684,-16187059333.515446,-1018403451.7710384,-229236533.69607198,-16191027841.574987,-1851743724.4500074,16219063951.329887,16298186610.051971,-0.9632581525340005,-0.016675779827431566,0.2680590418992266,-0.017309255549508917,0.999850183613686,0.0,0.26801888226225046,0.0046399024585902305,0.9634024860130208,4549.550459685174,-540.0559816714505,-0.11815245996571445,4.357758235623434e-11,175.69805580609375,0.0,-101.8,-49.70194419390624,0.0,3.0158135240074e-17,2.292519725051685,1.5707963267948966,17.905814397127987,461.0,0.0002142912577690073,2.47521674711617e-09,0.0,0.00045658468482397645,-1507.6535031475516,-26.100271258027938,417.0733483932404,-0.0017468349556809793,0.0015844360850980918,-0.011269909662531184,-0.0017468349569877317,0.001584436083657402,-0.011269909662531184,-1.4964922582829223e-19,-5.256261218528821e-22,2.3121718414395746e-20,-1.4964922582785873e-19,-5.256262452750284e-22,2.3121718414395746e-20,-1507.6552499825086,-26.09868682194428,417.06207848357786,-1502673.5713502504,0.37019890469569766,159803.75250389733,-0.1153499167695055,4591.556403315498
0.001986523788275215,2001.0,11.0,6.0,8.0,30.0,0.0,1.0,3428287.2780928975,59349.40836476806,-943331.8327106748,701.8402469486887,-284.9089265553525,4528.497719183959,3556198.9483171687,4591.409851159254,3428287.2864498235,59348.92562936949,-943331.8327106748,3556198.9483171687,706.046998742874,-527.9141190026794,4528.497719183959,4613.511382247855,14250600.467731493,0.7543121073689038,1.6336281797388488,0.0,0.0,6.014163500404702,-0.27137522324723373,0.017309808948282143,161417.1786650666,-0.11556074848579012,-0.11500468241811786,0.5716778039932251,-16187059365.975288,-1018403451.747806,-229236719.0440207,-16191027766.699377,-1851744393.3334754,16219063983.724218,16298186614.271854,-0.9632588414542059,-0.016675492036287085,0.26805658418634076,-0.01730894453970654,0.9998501889977925,0.0,0.2680164263608155,0.004639776549184549,0.9634031698486107,4549.551847210542,-540.0559600030988,-0.11815241956935629,4.3582225784711284e-11,175.69686518340734,0.0,-101.8,-49.70313481659264,0.0,3.015811433561191e-17,2.2925193836559106,1.5707963267948966,17.905878106912667,461.0,0.0002143141984451463,4.256971658040565e-07,0.0,0.0004566332572889397,-1507.6554700780966,-26.10004731482619,417.06977112344657,-0.0017470035704084056,0.0015846053186804531,-0.011271109401275391,-0.0017470037935358618,0.0015846050726857483,-0.011271109401275391,-1.4966507626509425e-19,-5.256551243599768e-22,2.312394081324607e-20,-1.4966507619107553e-19,-5.256761986236762e-22,2.312394081324607e-20,-1507.6572170818902,-26.098462709753502,417.0585000140453,-1502673.522318516,0.7403978093913953,159607.85892573124,-0.11513801605970987,4591.703470587422
0.038328096605027534,2001.0,11.0,6.0,8.0,30.0,0.0,1.0,3428312.78190796,59339.05428882014,-943167.2593826465,701.7213938176801,-284.9109837877045,4528.530594158365,3556179.710465819,4591.424237146097,3428312.943106816,59329.740296631615,-943167.2593826465,3556179.710465819,705.9260517833474,-527.9198024394276,4528.530594158365,4613.525793861179,14250609.022199789,0.7543122578776059,1.633628177400231,0.0,9.541398640621977e-08,6.014210017642023,-0.2713282784954313,0.017304084963857727,161397.46171273617,-0.11554081887157942,-0.11498485064781962,11.02828323841095,-16187059963.071562,-1018403451.3087326,-229240129.1638565,-16191026388.795635,-1851756700.9464157,16219064579.61469,16298186691.745668,-0.9632715177931193,-0.01667019608017951,0.2680113571682903,-0.017303221412514443,0.999850288057542,0.0,0.2679712326674078,0.004637459854151416,0.9634157526368412,4549.577378088438,-540.0555613152117,-0.11815167627223752,4.366766591147655e-11,175.67495745859574,0.0,-101.8,-49.72504254140424,0.0,3.015772967896845e-17,2.2925131017361977,1.5707963267948966,17.90705049509029,461.0,0.0002147363161080663,8.221895925001894e-06,0.0,0.00045752699853695,-1507.6916625024455,-26.09592621891522,417.0039407093447,-0.0017501054267556036,0.0015877192692139875,-0.011293184819166741,-0.0017501097402425347,0.0015877145145463082,-0.011293184819166741,-1.4995672417029131e-19,-5.261877157451795e-22,2.3164823967939807e-20,-1.499567227401985e-19,-5.265951160633222e-22,2.3164823967939807e-20,-1507.6934126121857,-26.094338504400675,416.9926475245255,-1502672.6202817708,1.110596714087093,159412.3192655022,-0.11492613571498932,4591.850266501904
0.22581075380708543,2001.0,11.0,6.0,8.0,30.0,0.0,1.0,3428444.2850179723,59285.63742597847,-942318.2225407632,701.1081967114242,-284.92159168606366,4528.700110510578,3556080.5157940085,4591.498416404321,3428445.233504664,59230.76174209797,-942318.2225407632,3556080.5157940085,705.3020523437405,-527.9491028683235,4528.700110510578,4613.600105253844,14250653.138329567,0.7543130340667261,1.6336281653402422,0.0,5.642800399292034e-07,6.014450003187733,-0.2710860864019868,0.01727455622054547,161295.79650806542,-0.11543800023149321,-0.11488253677704004,64.92162221670151,-16187063042.174122,-1018403449.0409243,-229257702.95980436,-16191019284.170944,-1851820163.0805523,16219067652.49895,16298187091.549583,-0.9633368819180967,-0.016642872627117535,0.26777801763221043,-0.017273697082468252,0.9998507985640173,0.0,0.2677380647674551,0.004625516361922645,0.9634806346123225,4549.709025801075,-540.0535061078788,-0.11814784378494401,4.411201551970929e-11,175.6,0.0,-101.8,-49.8,0.0,3.0156381602935276e-17,2.2924910859838334,1.5707963267948966,17.9111605276532,461.0,0.00021693173833463943,4.868586795828899e-05,0.0,0.00046218260787379525,-1507.8782935441773,-26.074661963799304,416.6642651126977,-0.001766278938704136,0.001603934051914478,-0.011408230308951406,-0.0017663046110449423,0.0016039057806498422,-0.011408230308951406,-1.5147911410649128e-19,-5.289844090138511e-22,2.337837732676536e-20,-1.5147910562016342e-19,-5.314089835165918e-22,2.337837732676536e-20,-1507.8800598487883,-26.073058058018653,416.65285688238873,-1502667.9684177712,1.4807956187827906,159217.13352321027,-0.11471427569658688,4591.996791028583
0.35346853690161845,2001.0,11.0,6.0,8.0,30.0,0.0,1.0,3428533.760283173,59249.26450648062,-941740.091361515,700.6906246224531,-284.92880969839496,4528.81545586566,3556013.0230953353,4591.548890224042,3428535.243678668,59163.36365766704,-941740.091361515,3556013.0230953353,704.8771244428101,-527.9690346063207,4528.81545586566,4613.6506689771795,14250683.160718888,0.754313562292051,1.6336281571330573,0.0,8.835772919877812e-07,6.014613417715666,-0.2709211684178505,0.017254450674099298,161226.6226700386,-0.11536798702460703,-0.11481286727179348,101.56872791051865,-16187065137.37575,-1018403447.4837135,-229269651.13236418,-16191014450.1235,-1851863344.3661537,16219069743.4684,16298187363.729912,-0.9633813580740906,-0.01662426592634335,0.2676191187074107,-0.017253594532308538,0.99985114565905,0.0,0.26757928243986984,0.004617391763271411,0.9635247829206413,4549.798604295637,-540.0521082238682,-0.11814523625052707,4.4412171586849455e-11,175.6,0.0,-101.8,-49.8,0.0,3.0156317232893895e-17,2.2924900347412804,1.5707963267948966,17.911356828794368,461.0,0.00021841500366536848,7.647553850929147e-05,0.0,0.00046533764214701267,-1508.0052926654134,-26.06017928052319,416.4329182367533,-0.0017772417627936491,0.0016149148994472216,-0.011486266659794435,-0.0017772822234184485,0.0016148703707094523,-0.011486266659794435,-1.5251505240688046e-19,-5.308804169577407e-22,2.352363930769441e-20,-1.5251503905796963e-19,-5.347016332464166e-22,2.352363930769441e-20,-1508.0070699476369,-26.05856441015248,416.4214319700935,-1502664.8026970625,1.8509945234784884,159022.3016988554,-0.11450243596575517,4592.14304413698
0.45718591169286354,2001.0,11.0,6.0,8.0,30.0,0.0,1.0,3428606.416480485,59219.71213434462,-941270.3696536659,700.351336371383,-284.9346711196029,4528.909122646182,3555958.2171651535,4591.589877411857,3428608.3337788144,59108.603256134484,-941270.3696536659,3555958.2171651535,704.5318595871439,-527.9852170609117,4528.909122646182,4613.691729168301,14250707.54303812,0.7543139912866128,1.6336281504677275,1.4901161193847656e-08,1.143415337398763e-06,6.014746190511752,-0.2707871735163363,0.017238116059682874,161170.45150547428,-0.115311101696328,-0.11475626118994436,131.31381979584694,-16187066838.835436,-1018403446.2112441,-229279347.9210141,-16191010524.737976,-1851898409.4967015,16219071441.49075,16298187584.840696,-0.9634174751175497,-0.016609147433293198,0.26749000889690144,-0.017237262347069304,0.9998514273564739,0.0,0.2674502671991628,0.004610795458575792,0.9635606338681212,4549.871347203957,-540.0509733970425,-0.1181431189291744,4.463123912865025e-11,175.6,0.0,-101.8,-49.8,0.0,3.015626496237935e-17,2.2924891810989965,1.5707963267948966,17.911516234823868,461.0,0.0002194982120614209,9.918505328033786e-05,0.0,0.0004676412552991902,-1508.1084278799037,-26.048410379545604,416.24492127409013,-0.0017851461852114844,0.0016229353231712606,-0.011543258521010668,-0.0017851987777919563,0.001622877472128511,-0.011543258521010668,-1.5327160244212776e-19,-5.321081599931521e-22,2.3628392171566356e-20,-1.5327158511792812e-19,-5.370751430807783e-22,2.3628392171566356e-20,-1508.1102130786815,-26.046787502073474,416.23337801556914,-1502662.2317052148,2.221193428174186,158827.8237924376,-0.1142906164837565,4592.289025796487
0.5523882891239904,2001.0,11.0,6.0,8.0,30.0,0.0,1.0,3428673.0767672597,59192.58542023855,-940839.2026470371,700.0398826126783,-284.9400489969104,4528.995062319025,3555907.9339537057,4591.627483069685,3428675.391800192,59058.3371015253,-940839.2026470371,3555907.9339537052,704.2149196779731,-528.0000619946932,4528.995062319025,4613.729401804311,14250729.915875591,0.7543143849275494,1.6336281443517584,0.0,1.3818768405163946e-06,6.014868066345354,-0.27066417543585025,0.017223122818343393,161118.9156409637,-0.11525888488284744,-0.1147043006982132,158.59369668364525,-16187068399.963537,-1018403445.0375751,-229288240.20309272,-16191006923.27979,-1851930581.5484457,16219072999.464628,16298187787.777632,-0.9634506126245802,-0.016595269180958785,0.2673714907654376,-0.01722227133137844,0.9998516856865264,0.0,0.2673318357463423,0.004604744360237511,0.9635935273370548,4549.938089321895,-540.0499324502833,-0.11814117638826854,4.484370826238349e-11,175.6,0.0,-101.8,-49.8,0.0,3.015621700514369e-17,2.2924883978979023,1.5707963267948966,17.911662489509077,461.0,0.0002205485406337435,0.00012013020874186099,0.0,0.00046987512421867075,-1508.2030587720712,-26.03760591593168,416.0723301694681,-0.001792849386019464,0.001630711797093696,-0.011598519291790513,-0.001792913234489754,0.0016306415975690085,-0.011598519291790513,-1.5400518091522807e-19,-5.333584496008678e-22,2.373047224456094e-20,-1.5400515991374778e-19,-5.393884582247731e-22,2.373047224456094e-20,-1508.2048516853058,-26.035975274334113,416.0607316501763,-1502659.8726107609,2.5913923328698836,158633.69980395684,-0.1140788172118627,4592.434735976373
0.7036354426122046,2001.0,11.0,6.0,8.0,30.0,0.0,1.0,3428778.918385597,59149.48840307641,-940154.1947150839,699.5450386723013,-284.94858818966566,4529.131520573525,3555828.0952521055,4591.687194234269,3428781.864221856,58978.47681266091,-940154.1947150839,3555828.095252105,703.7113595199846,-528.0236283436592,4529.131520573525,4613.789219314133,14250765.444085179,0.7543150100362159,1.633628134639567,1.4901161193847656e-08,1.7613651580559154e-06,6.015061696122448,-0.2704687618220266,0.017199303846046236,161037.08784173988,-0.11517592523641511,-0.11462174826962566,201.88751637935638,-16187070878.838097,-1018403443.1608416,-229302350.72833234,-16191001204.93943,-1851981664.8456156,16219075473.32986,16298188110.134329,-0.963503229539331,-0.016573219041802676,0.2671831863682139,-0.01719845588689259,0.9998520956197005,0.0,0.26714366880460766,0.004595138244473129,0.9636457569678436,4550.044065343055,-540.0482801099353,-0.11813809216573877,4.5208822054296106e-11,175.58565315748874,0.0,-101.8,-49.8,0.0,3.0155900931348726e-17,2.292483236021103,1.5707963267948966,17.91262647837384,461.0,0.00022235283977457932,0.00015362349880064467,0.0,0.0004737130396071329,-1508.353324923864,-26.020437486337933,415.7980805036639,-0.001806169980879909,0.00164406679663269,-0.011693427403995985,-0.0018062519770251073,0.001643976711244626,-0.011693427403995985,-1.552641209555076e-19,-5.356419879087454e-22,2.390682846971031e-20,-1.5526409404706733e-19,-5.433858381785321e-22,2.390682846971031e-20,-1508.355131175841,-26.01879350962669,415.7863870762599,-1502656.126368843,2.9615912375655813,158439.92973341316,-0.11386703811135526,4592.5801746457755
0.8940732195155321,2001.0,11.0,6.0,8.0,30.0,0.0,1.0,3428912.078854457,59095.22240425898,-939291.6606268103,698.9219024352759,-284.95933200905205,4529.303209371268,3555727.648955706,4591.762320615437,3428915.8170705377,58877.91834371423,-939291.6606268103,3555727.648955706,703.0772478174971,-528.053270282566,4529.303209371268,4613.864479487408,14250810.151383726,0.7543157966559125,1.6336281224180886,1.4901161193847656e-08,2.239788775548563e-06,6.015305510325736,-0.2702226999321457,0.017169314127723774,160934.13875296433,-0.11507146367973187,-0.11451779945077048,256.32023000717163,-16187073997.794277,-1018403440.7757565,-229320088.62784505,-16190994010.572916,-1852045935.5140362,16219078585.981745,16298188515.927479,-0.9635694308730876,-0.01654545206009581,0.2669460617859743,-0.017168470596451324,0.9998526109469229,0.0,0.266906716858705,0.004583055612610978,0.9637114713942959,4550.177402702988,-540.0462020672735,-0.11813421204276797,4.567781234760704e-11,175.5,0.0,-101.8,-49.8,0.0,3.015437255901526e-17,2.2924582758067045,1.5707963267948966,17.91728935558846,461.0,0.00022467031069767202,0.00019618871039751908,0.0,0.00047864282360289583,-1508.5423998587858,-25.99881436904392,415.4526709800099,-0.0018232679091087806,0.001661207724983184,-0.011815240758868336,-0.0018233731828586203,0.0016610921738307405,-0.011815240758868336,-1.5687533799706454e-19,-5.385588389789546e-22,2.413248423930391e-20,-1.5687530355139945e-19,-5.485006586690513e-22,2.413248423930391e-20,-1508.5442232319685,-25.99715327687009,415.440855739251,-1502651.4122722168,3.331790142261279,158246.51358080652,-0.1136552791435253,4592.7253417737
